ImageID,Labels,Caption
0.jpg,1,"Woman in swim suit holding parasol on sunny day."
1.jpg,1 19,"A couple of men riding horses on top of a green field."
2.jpg,1,"They are brave for riding in the jungle on those elephants."
3.jpg,8 3 13,"a black and silver clock tower at an intersection near a tree"
4.jpg,8 3 7,"A train coming to a stop on the tracks out side."
5.jpg,1,"A young man riding a skateboard into the air."
6.jpg,5,"A big airplane flying in the big blue sky"
7.jpg,1 4,"A man riding a motor bike across a forest."
8.jpg,8 3,"There is a street lined with packed buildings"
9.jpg,1 18 15,"A skate park next to a body of water and green park."
10.jpg,1,"Woman cutting pizza with fork and knife sitting next to young girl"
11.jpg,1,"a man and woman cut into a big cake"
12.jpg,1 15,"A piece of cake and coffee are on an outdoor table."
13.jpg,1 3,"People gathered outside in a big field on a cloudy day"
14.jpg,1 13 7,"A stop sign directs pedestrians as a train travels by."
15.jpg,1,"a female in military uniform cutting a businessman's neck tie"
16.jpg,1,"Six snowboards are propped in the snow on a rail."
17.jpg,3 5,"a small airplane that is on a runway"
18.jpg,1 3 6,"A female traveler leaning on a luggage cart."
19.jpg,18 3,"The dog is playing with his toy in the grass"
20.jpg,1,"the people are sampling wine at a wine tasting."
21.jpg,18,"A stuffed bear that is laying down in the grass."
22.jpg,1,"Beautiful women wearing bikinis frolicking on a sandy beach."
23.jpg,1,"A man tossing an orange frisbee on top of a lush green field."
24.jpg,1,"A man holding a glass of wine on it's side."
25.jpg,7,"The passenger train has stopped at a station."
26.jpg,1,"A young boy playing soccer on a grassy field"
27.jpg,1,"A little girl holding wet broccoli in her hand."
28.jpg,1,"landscape of a snowy mountain with a skiers trail in the snow"
29.jpg,1,"A man with a bushy beard and green tie."
30.jpg,18,"A white dog holding a purple frisbee in it's mouth."
31.jpg,9,"a couple of boats that are in some water"
32.jpg,1 3,"Two people playing tennis in a neighborhood park."
33.jpg,1,"A tennis player in action on the court."
34.jpg,1,"A person licks his thumb while holding a piece of food."
35.jpg,17 1,"A cat is lying on its back in a man's lap."
36.jpg,1,"a standing woman with a remote control in hand"
37.jpg,1 6,"A Los Angeles school bus parked in a parking lot."
38.jpg,18,"A dog stands next to a skateboard leaned up against a wall."
39.jpg,1 10 15,"A man holding his hands together while sitting on a bench."
40.jpg,1 4,"Man on dirt bike with a redheaded woman in his lap."
41.jpg,1 2,"People playing tennis on the court on a sunny day"
42.jpg,1 6,"A man standing next to a large red bus."
43.jpg,3 5 6 8 10,"An airplane sitting in the middle of a city."
44.jpg,1 5,"People gather around as a man gets into an old-time airplane."
45.jpg,1,"A man leaning over as she inspects a woman's shoes."
46.jpg,17,"a close up of a cat laying on grass near a shoe"
47.jpg,18,"A brown and white chihuahua stands over a stuffed giraffe toy and a gray ribbon."
48.jpg,1,"Three young women are trying to catch a frisbee."
49.jpg,4,"Rusted red motorcycle parked beside a red building."
50.jpg,1,"A young man riding a skateboard down a ramp."
51.jpg,17 3,"a cat is sitting on top of a vehicle"
52.jpg,3 4,"A motorcycle parked in a parking spot in a lot."
53.jpg,1 7,"A train with googly eyes sitting near a platform."
54.jpg,19,"A statue of a man on top of a horse."
55.jpg,1,"A sandy beach covered in white surfboards near the ocean."
56.jpg,6,"A white and red bus on side of street."
57.jpg,17 1,"A woman that is with a cat in a mirror."
58.jpg,1 4,"A person is riding a motorcycle down a country road."
59.jpg,1,"a dark room with three people on computers"
60.jpg,1 3,"People are gathering near bright orange air balloons."
61.jpg,1 4,"A motorcycle is parked outside of a cafe."
62.jpg,1 3,"A woman wearing a pink hat holding a black umbrella."
63.jpg,1,"A woman cuts a large cake that has a lit candle."
64.jpg,1,"The kite surfer is spraying up water as he surfs."
65.jpg,1 18,"a family is sitting down at a table to have cake"
66.jpg,1 7,"Many people are walking with suitcases in a train station."
67.jpg,16,"three ducks next to the shore of a pond"
68.jpg,1 3 14,"A black and white photograph of two men on side of the road."
69.jpg,17,"Cat Siamese looking sleeping on its side on a comforter."
70.jpg,1,"A man on a surfboard in the water."
71.jpg,8 1 3,"this is two men in cleats on the grass"
72.jpg,9 18 1,"A man on a boat holding his dog in his lap."
73.jpg,1,"A young man laying on the ground while wearing skis."
74.jpg,1,"A street at night with people walking around and buildings lit up."
